10µF,,1µF,,100nF,
X,Y,X,Y,X,Y
4595006.697343844,1.0444956928711933,2068254.7488746718,0.49490449741216835,744907.2062541896,3.177344382777869
5250454.593977058,1.1915704761182773,2601652.582681363,0.6388769745163208,780971.906800393,3.0074841101060925
5823728.307887009,1.3581001552082546,3144569.888976274,0.7895863340927498,819692.2298920742,2.8287422545495176
6453990.072858101,1.511730392489357,3653632.006513235,0.9436262872509791,865212.6973255145,2.674202712354019
7004870.105944132,1.6601797064209936,4143287.7060205876,1.0835112176865596,905517.1948115048,2.5183309327258003
7385542.5533881085,1.807360222797659,4692310.848557947,1.2340540475838986,948014.9147472993,2.3597946782321424
7948258.156215167,1.9144943163455443,5293621.86410313,1.4154603780059136,992341.8628217144,2.2025906611712043
,,5826164.242028676,1.5631166934656928,1037030.2678024637,2.0238488056146293
,,6352816.577223847,1.7274259768344704,1097053.4073375487,1.8584927642630005
,,6739758.154205819,1.879523083736649,1147529.731842618,1.7069983361994332
,,7147291.506184063,2.0349507842206274,1224832.5807909246,1.530762355813926
,,7598213.764227712,2.1706169627859286,1284023.9208894426,1.3566198913941214
,,,,1410752.8532362625,1.1592822216724992
,,,,1564749.95356475,0.9704613555386206
,,,,1747093.8078572596,0.7732902154960879
,,,,1958209.9638464383,0.6048573400736545
,,,,2118494.027873927,0.44181685425984796
,,,,2469392.98344375,0.3269906755349501
,,,,3151820.541013181,0.250257259767257
,,,,3888032.3048300915,0.4083090642853806
,,,,4317592.569617171,0.5802215208812962
,,,,4814582.8906928515,0.7504518595066054
,,,,5313514.236035529,0.9340045724591133
,,,,5785798.849468488,1.120980395481804
,,,,6371393.45438446,1.2873435448926913
,,,,6847691.311380705,1.4398847309391098
,,,,7360003.695841713,1.5919818378412889
,,,,7807208.137218967,1.7451891426040675
,,,,8193741.03825899,1.879523083736649
