frequency	V(onoise)
38.0189396320559	2.71013726192641E-08
38.9045144994278	2.71013726192641E-08
39.8107170553495	2.71013726192641E-08
40.738027780411	2.71013726192641E-08
41.6869383470333	2.71013726192641E-08
42.657951880159	2.71013726192641E-08
43.6515832240163	2.71013726192641E-08
44.6683592150961	2.71013726192641E-08
45.7088189614872	2.71013726192641E-08
46.7735141287196	2.71013726192641E-08
47.8630092322636	2.71013726192641E-08
48.9778819368443	2.71013726192641E-08
50.1187233627269	2.71013726192641E-08
51.2861383991362	2.71013726192641E-08
52.480746024977	2.71013726192641E-08
53.703179637025	2.71013726192641E-08
54.9540873857621	2.71013726192641E-08
56.2341325190346	2.71013726192641E-08
57.5439937337154	2.71013726192641E-08
58.8843655355586	2.71013726192641E-08
60.2559586074354	2.71013726192641E-08
61.6595001861479	2.71013726192641E-08
63.095734448019	2.71013726192641E-08
64.5654229034652	2.71013726192641E-08
66.0693448007592	2.71013726192641E-08
67.6082975391978	2.71013726192641E-08
69.1830970918932	2.71013726192641E-08
70.7945784384134	2.71013726192641E-08
72.4435960074986	2.71013726192641E-08
74.1310241300913	2.71013726192641E-08
75.8577575029179	2.71013726192641E-08
77.6247116628687	2.71013726192641E-08
79.4328234724277	2.71013726192641E-08
81.2830516164094	2.71013726192641E-08
83.1763771102666	2.71013726192641E-08
85.1138038202371	2.71013726192641E-08
87.0963589956076	2.71013726192641E-08
89.125093813374	2.71013726192641E-08
91.2010839355904	2.71013726192641E-08
93.3254300796986	2.71013726192641E-08
95.499258602143	2.71013726192641E-08
97.7237220955805	2.71013726192641E-08
99.9999999999994	2.71013726192641E-08
102.329299228074	2.71013726192641E-08
104.712854805089	2.71013726192641E-08
107.15193052376	2.71013726192641E-08
109.647819614317	2.71013726192641E-08
112.201845430195	2.71013726192641E-08
114.815362149687	2.71013726192641E-08
117.489755493952	2.71013726192641E-08
120.22644346174	2.71013726192641E-08
123.026877081237	2.71013726192641E-08
125.892541179416	2.71013726192641E-08
128.824955169312	2.71013726192641E-08
131.825673855639	2.71013726192641E-08
134.896288259164	2.71013726192641E-08
138.038426460287	2.71013726192641E-08
141.253754462274	2.71013726192641E-08
144.543977074591	2.71013726192641E-08
147.910838816819	2.71013726192641E-08
151.356124843619	2.71013726192641E-08
154.881661891247	2.71013726192641E-08
158.48931924611	2.71013726192641E-08
162.181009735892	2.71013726192641E-08
165.958690743755	2.71013726192641E-08
169.824365246173	2.71013726192641E-08
173.780082874936	2.71013726192641E-08
177.827941003891	2.71013726192641E-08
181.970085860997	2.71013726192641E-08
186.208713666285	2.71013726192641E-08
190.546071796323	2.71013726192641E-08
194.984459975803	2.71013726192641E-08
199.526231496886	2.71013726192641E-08
204.173794466951	2.71013726192641E-08
208.929613085402	2.71013726192641E-08
213.796208950221	2.71013726192641E-08
218.776162394953	2.71013726192641E-08
223.872113856832	2.71013726192641E-08
229.086765276775	2.71013726192641E-08
234.42288153199	2.71013726192641E-08
239.883291901947	2.71013726192641E-08
245.470891568501	2.71013726192641E-08
251.188643150956	2.71013726192641E-08
257.039578276884	2.71013726192641E-08
263.026799189536	2.71013726192641E-08
269.153480392689	2.71013726192641E-08
275.422870333814	2.71013726192641E-08
281.838293126443	2.71013726192641E-08
288.403150312658	2.71013726192641E-08
295.120922666636	2.71013726192641E-08
301.995172040199	2.71013726192641E-08
309.029543251356	2.71013726192641E-08
316.227766016835	2.71013726192641E-08
323.593656929626	2.71013726192641E-08
331.131121482588	2.71013726192641E-08
338.8441561392	2.71013634607209E-08
346.736850452529	2.71013634607209E-08
354.813389233572	2.71013634607209E-08
363.078054770098	2.71013634607209E-08
371.535229097169	2.71013634607209E-08
380.189396320558	2.71013634607209E-08
389.045144994277	2.71013634607209E-08
398.107170553494	2.71013634607209E-08
407.380277804109	2.71013634607209E-08
416.869383470332	2.71013634607209E-08
426.579518801589	2.71013634607209E-08
436.515832240162	2.71013634607209E-08
