frequency   noise_req
320.4626195571002  5.834386353638083e-07
321.1638506721048  5.833085882864655e-07
321.8650817871094  5.831790790522388e-07
322.56631290211396  5.830501043219116e-07
323.26754401711855  5.829216607839263e-07
323.96877513212314  5.827937451540974e-07
324.67000624712773  5.82666354175329e-07
325.3712373621323  5.825394846173347e-07
326.0724684771369  5.824131332763623e-07
326.77369959214155  5.822872969749213e-07
327.47493070714614  5.82161972561513e-07
328.17616182215073  5.820371569103653e-07
328.8773929371553  5.819128469211699e-07
329.5786240521599  5.817890395188227e-07
330.2798551671645  5.816657316531679e-07
330.9810862821691  5.815429202987443e-07
331.6823173971737  5.814206024545363e-07
332.3835485121783  5.812987751437258e-07
333.0847796271829  5.81177435413449e-07
333.7860107421875  5.810565803345552e-07
334.4872418571921  5.809362070013683e-07
335.1884729721967  5.808163125314521e-07
335.88970408720127  5.806968940653774e-07
336.59093520220586  5.805779487664927e-07
337.29216631721044  5.804594738206971e-07
337.99339743221503  5.803414664362167e-07
338.6946285472197  5.802239238433817e-07
339.39585966222427  5.801068432944096e-07
340.09709077722886  5.799902220631869e-07
340.79832189223345  5.798740574450568e-07
341.49955300723803  5.797583467566076e-07
342.2007841222426  5.796430873354637e-07
342.9020152372472  5.795282765400802e-07
343.6032463522518  5.79413911749538e-07
344.30447746725645  5.792999903633436e-07
345.00570858226104  5.791865098012293e-07
345.7069396972656  5.790734675029564e-07
346.4081708122702  5.789608609281215e-07
347.1094019272748  5.788486875559639e-07
347.8106330422794  5.787369448851755e-07
348.511864157284  5.786256304337135e-07
349.21309527228857  5.78514741738615e-07
349.91432638729316  5.784042763558127e-07
350.6155575022978  5.782942318599547e-07
351.3167886173024  5.78184605844225e-07
352.018019732307  5.780753959201658e-07
352.71925084731157  5.779665997175032e-07
353.42048196231616  5.778582148839736e-07
354.12171307732075  5.77750239085153e-07
354.82294419232534  5.776426700042872e-07
355.5241753073299  5.775355053421255e-07
356.2254064223346  5.774287428167543e-07
356.92663753733916  5.773223801634345e-07
357.62786865234375  5.772164151344396e-07
358.32909976734834  5.771108454988954e-07
359.0303308823529  5.770056690426232e-07
359.7315619973575  5.769008835679823e-07
360.4327931123621  5.767964868937165e-07
361.1340242273667  5.766924768548006e-07
361.8352553423713  5.765888513022903e-07
362.53648645737593  5.76485608103172e-07
363.2377175723805  5.763827451402155e-07
363.9389486873851  5.762802603118283e-07
364.6401798023897  5.761781515319105e-07
365.3414109173943  5.760764167297125e-07
366.0426420323989  5.759750538496938e-07
366.74387314740346  5.758740608513832e-07
367.44510426240805  5.757734357092403e-07
368.1463353774127  5.756731764125197e-07
368.8475664924173  5.755732809651355e-07
369.5487976074219  5.754737473855272e-07
370.25002872242646  5.753745737065284e-07
370.95125983743105  5.752757579752356e-07
371.65249095243564  5.751772982528788e-07
372.35372206744023  5.750791926146939e-07
373.0549531824448  5.749814391497963e-07
373.7561842974494  5.748840359610552e-07
374.45741541245405  5.747869811649706e-07
375.15864652745864  5.746902728915501e-07
375.85987764246323  5.745939092841882e-07
376.5611087574678  5.744978884995468e-07
377.2623398724724  5.744022087074359e-07
377.963570987477  5.743068680906969e-07
378.6648021024816  5.742118648450865e-07
379.3660332174862  5.741171971791617e-07
380.0672643324908  5.740228633141669e-07
380.7684954474954  5.739288614839206e-07
381.4697265625  5.738351899347051e-07
382.1709576775046  5.737418469251561e-07
382.8721887925092  5.736488307261542e-07
383.57341990751377  5.735561396207171e-07
384.27465102251836  5.734637719038926e-07
384.97588213752294  5.733717258826545e-07
385.67711325252753  5.73279999875797e-07
386.3783443675322  5.731885922138321e-07
387.07957548253677  5.730975012388876e-07
387.78080659754136  5.730067253046059e-07
388.48203771254595  5.729162627760437e-07
389.18326882755053  5.72826112029574e-07
389.8844999425551  5.72736271452787e-07
390.5857310575597  5.72646739444394e-07
391.2869621725643  5.725575144141313e-07
391.98819328756895  5.724685947826656e-07
392.68942440257354  5.723799789814991e-07
393.3906555175781  5.72291665452878e-07
394.0918866325827  5.722036526496992e-07
394.7931177475873  5.7211593903542e-07
395.4943488625919  5.720285230839677e-07
396.1955799775965  5.719414032796507e-07
396.89681109260107  5.7185457811707e-07
397.59804220760566  5.717680461010315e-07
398.2992733226103  5.716818057464603e-07
399.0005044376149  5.715958555783142e-07
399.7017355526195  5.715101941315e-07
400.40296666762407  5.714248199507886e-07
401.10419778262866  5.713397315907325e-07
401.80542889763325  5.712549276155833e-07
402.50666001263784  5.711704065992112e-07
403.2078911276424  5.71086167125023e-07
403.9091222426471  5.710022077858838e-07
404.61035335765166  5.709185271840371e-07
405.31158447265625  5.70835123931027e-07
406.01281558766084  5.70751996647621e-07
406.7140467026654  5.706691439637332e-07
407.41527781767  5.705865645183483e-07
408.1165089326746  5.705042569594471e-07
408.8177400476792  5.704222199439314e-07
409.5189711626838  5.703404521375512e-07
410.22020227768843  5.702589522148312e-07
